"Year","Month","Day","Precipitation","sea_level"
2009,12,7,34,2.148
2009,12,11,23.485857248204,2.158
2010,1,29,27.4,2.089
2010,2,4,26.2,2.186
2010,6,29,43.1822717188766,2.142
2010,6,30,40.5155101819901,2.339
2010,7,1,32.653430584503,2.415
2010,7,7,33.9786410331726,2.313
2010,7,8,34.8,2.466
2010,9,18,47.2,2.186
2011,9,3,39.0967155711337,2.232
2011,10,9,109.5,2.253
2012,3,10,36.5591261594318,2.143
2012,3,20,54.4,2.221
2012,4,15,50.8718430254476,2.195
2012,6,19,23.6,2.177
2013,1,9,40.1,2.198
2013,9,19,24.0995585918427,2.191
2013,9,20,74.2,2.19
2013,10,18,22.8211164474033,2.114
2013,10,19,33.8,2.097
2013,10,31,75.4,2.173
2014,5,28,53.6,2.084
2014,11,22,48.886561528775,2.092
2015,6,15,37.5685244799229,2.231
2015,6,16,30.8102160692201,2.511
2015,9,27,77.1017031420342,2.262
2015,10,24,215.271073579686,2.247
2015,10,25,125.5,2.517
2015,10,30,35.9540611504485,2.102
2015,11,1,47.2,2.305
2015,11,16,36.1119747161069,2.165
2015,11,17,42.9,2.28
2015,12,13,74.9,2.194
2016,3,8,70.2335119246413,2.074
2016,3,9,75.7,2.276
2016,3,31,22.9296565055392,2.212
2016,4,13,66,2.087
2016,4,17,47.0815490382961,2.398
2016,4,18,35.3,2.443
2016,5,1,49.8152732847075,2.283
2016,5,19,83.8,2.215
2016,5,27,42.9,2.238
2016,6,2,35.6,2.149
2016,6,3,33.5,2.167
2016,6,4,82,2.232
2016,8,16,28.7,2.072
2016,8,27,39.5610839128153,2.112
2016,8,28,29.848062992091,2.11
2016,8,29,52.1,2.258
2016,9,9,24.5239734649658,2.141
2016,10,20,37.6,2.231
2016,12,3,195.1,2.496
2016,12,4,39.1198992729187,2.18
2016,12,5,22.9,2.075
2016,12,31,26.2,2.149
2017,4,1,31.2698394059225,2.156
2017,5,2,83.0557499302813,2.109
2017,5,22,59.2,2.294
2017,6,26,47.5,2.072
2017,6,27,35.8,2.155
2017,8,2,24.1,2.131
2017,8,25,79.894632101059,2.375
2017,8,26,121.342280507086,2.522
2017,8,27,92.4293598711188,2.443
2017,8,28,106.362692397795,2.455
2017,8,29,219.5,2.571
2017,10,19,35.4918539524078,2.176
2017,12,5,25.0561028718153,2.102
2018,3,28,31.558676000941,2.081
2018,3,29,25.9,2.141
2018,4,21,28.3078253269196,2.129
2018,6,18,108.131656050681,2.217
2018,6,19,30.7969312112633,2.132
2018,6,20,52.1,2.085
2018,9,2,58.4,2.098
2018,9,3,147.1,2.238
2018,9,11,55.6,2.129
2018,9,12,26.2002527712752,2.119
2018,9,13,66.8,2.205
2018,9,14,57.7,2.214
2018,9,29,53.8,2.082
2018,10,1,24.1,2.11
2018,10,22,39.6001458167916,2.187
2018,10,24,124.5,2.437
2018,12,7,51.6,2.072
2018,12,8,32,2.268
2019,5,9,82.1026389917847,2.206
2019,5,10,45.2,2.435
2019,5,11,24.9,2.217
2019,5,18,25.3586828887364,2.243
2019,6,5,54.4,2.382
2019,6,17,24.9,2.209
2019,6,25,57.7,2.107
2019,9,16,56.6096339908313,2.351
2019,9,17,115.161606669425,2.32
2019,9,18,157.5,2.238
2019,9,19,173,2.096
2019,10,14,79.2,2.215
2019,10,20,49.2264628410339,2.322
2019,10,21,61.5,2.419
2019,10,24,42.620939016274,2.305
2019,10,25,64.5,2.438
2019,10,28,27.9524862766216,2.211
2019,10,30,25.1,2.297
2020,1,22,25.9590387342996,2.235
2020,1,23,32.5,2.322
2020,1,26,84.8,2.078
2020,4,28,23.6330389975592,2.158
2020,4,29,39.6,2.19
2020,5,15,55.2509278059006,2.232
2020,5,25,25.9,2.363
2020,6,22,39.4,2.278
2020,6,23,48.3613014221191,2.092
2020,6,24,30.5,2.127
2020,7,21,58.9,2.146
2020,7,23,25.3325045108745,2.17
2020,7,24,40.3597354888916,2.431
2020,7,25,42.7,2.481
2020,9,19,40.0082658323981,2.525
2020,9,20,34.5013499259039,2.697
2020,9,21,37.967199087138,2.908
2020,9,22,47.8,2.824
2020,10,8,73.1079936027186,2.218
2020,10,9,53.3,2.54
2020,11,28,54.9,2.128
2021,3,23,28.2,2.077
2021,5,16,26.9731611012389,2.125
2021,5,17,23.6,2.136
2021,5,18,52.8227925300548,2.345
2021,5,19,31.3882708549045,2.347
2021,5,22,23.8695293664932,2.509
2021,6,21,42.7,2.143
2021,6,22,51.1,2.08
2021,9,12,30.2394539117472,2.0958
2021,9,13,98.5490858553817,2.2293
2021,9,14,41.1,2.7272
2021,9,27,38.322556018727,2.0925
2021,10,1,49.8152913000993,2.164
2021,10,2,48,2.1805
2021,10,23,35.8,2.1768
2021,10,27,31.5,2.2607
2021,12,18,25.7,2.1149
2022,1,8,28.8674294948237,2.1133
2022,3,21,24.3201136588027,2.2401
2022,4,25,45.7,2.132
2022,5,22,32.5,2.0985
2022,10,27,41.7853772639205,2.0938
2022,11,4,29.6317511250095,2.0837
2022,11,14,42.2,2.2614
2022,11,24,34,2.2656
2022,11,25,54.3930771095233,2.298
2022,11,26,26.7,2.1656
2023,3,16,27.4997147442377,2.2028
2023,3,17,44.5,2.2452
2023,4,20,57.1967363357544,2.1336
2023,4,21,38.9,2.1213
2023,5,9,23.7926870583465,2.2041
2023,5,10,38.9,2.2229
2023,5,13,39.9988144636154,2.204
2023,10,11,30.7,2.345
2023,11,30,99.8,2.3649
2023,12,1,33.5,2.4586
2023,12,15,25.2573817967345,2.3567
